"TSectors","Intensity"
"Agricultural",0
"Army",0
"Banned Parties",0
"Center Left",13
"Criminals",0
"Dissident",118.4
"Education",16
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",0
"Government",17.3
"Human Rights IGOs",10
"Human Rights NGOs",15
"Information",0
"International Ethnic",8
"Kurd (Ethnic Group)",13
"Labor",0
"Labor NGOs",0
"Legal",0
"Media",0
"Military",1.2
"Military Intelligence",0
"National",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Radicals",0
"Radio News",0
"Rebel",6
"Social",44.8
"State-Owned Science",0
"Sunni",11
"Unidentified Forces",6
