"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Communist",0
"Criminals",54.6
"Dissident",55.6
"Education",0
"Environment Ministry",0
"General Population",76.6
"Government",0
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",41.6
"Information",0
"Insurgents",0
"Labor",46.6
"Legislative",59
"Media",0
"Medical",0
"Military",0
"Municipal",0
"Nationalist",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",49.6
"Police",316.6
"Protestors",206.6
"Provincial",0
"Radicals",0
"Rebel",0
"Refugees",49.6
"Regional Diplomatic IGOs",0
"Social",99.9
"Transportation Business",0
"Unidentified Forces",44.6
"Women",0
