"TSectors","Intensity"
"Agricultural",9
"Army",8.6
"Banned Parties",0
"Center Left",9.5
"Criminals",0
"Dissident",112.6
"Education",7
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",2.10000000000001
"Government",44.1
"Human Rights IGOs",21
"Human Rights NGOs",0
"Information",0
"International Ethnic",0
"Kurd (Ethnic Group)",0
"Labor",13
"Labor NGOs",0
"Legal",0
"Media",0
"Military",11.6
"Military Intelligence",12
"National",16
"Nongovernmental Organization (International)",11
"Nongovernmental Organizations",0
"Police",14.2
"Protestors",0
"Radicals",0
"Radio News",0
"Rebel",0
"Social",4.2
"State-Owned Science",0
"Sunni",0
"Unidentified Forces",0
