"TSectors","Intensity"
"Agricultural",0
"Buddhist",11
"Criminals",0
"Defense",0
"Dissident",92.5
"Elections Ministry",0
"Exiles",0
"General Population",6
"Government",2.6
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Intelligence Ministry",0
"Interior",0
"International Ethnic",11
"International Religious",0
"Labor",0
"Media",0
"Medical",0
"Military",1
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Radicals",0
"Rebel",0
"Refugees",0
"Separatists",11
"Social",23.5
"State Media",0
