"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",18.9
"Business",14.9
"Center Right",0
"Centrist",0
"Criminals",39.9
"Dissident",53.9
"Education",66.7
"Executive",0
"General Population",723.4
"Government",334
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",0
"Labor",14.9
"Local",0
"Media",11.9
"Medical",0
"Military",0
"Muslim",26.9
"National Religious",16.9
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",0
"Police",0
"Protestors",23.9
"Provincial",13.9
"Radicals",28.9
"Rebel",18.9
"Social",10.5
"Unidentified Forces",236.2
