"TSectors","Intensity"
"(National) Minor Party",0
"Agriculture",0
"Army",0
"Centrist",0
"Criminals",0
"Dissident",42.2
"General Population",42
"Health Ministry",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Labor",0
"Local",14
"Media",30.6
"Military",15
"Muslim",0
"National Religious",11
"Nongovernmental Organization (International)",15
"Nongovernmental Organizations",0
"Police",6
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",0
"State-Owned Transportation",0
"Unidentified Forces",0
