"TSectors","Intensity"
"(National) Major Party",15.3
"Agricultural",6.2
"Business",66
"Criminals",151.4
"Dissident",195.5
"Education",50.8
"General Population",0
"Government",943.6
"Government Major Party (In Government)",37
"Human Rights IGOs",33
"Human Rights NGOs",0
"Ideological",0
"Insurgents",0
"International Religious",0
"Kashmiri",12.4
"Labor",49.8
"Legislative",0
"Media",5
"Medical",18.4
"Military",0
"Muslim",2.6
"National Religious",100.3
"Nongovernmental Organization (International)",31.5
"Nongovernmental Organizations",19.4
"Opposition Major Party (Out Of Government)",26.9
"Parties",60.1
"Police",207.8
"Protestors",61.4
"Radicals",0
"Rebel",448.2
"Separatists",71.4
"Sikh",7.4
"Social",2762.2
"Unidentified Forces",284.4
