"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Berber-Kabyle",0
"Business",19
"Criminals",45.4
"Dissident",75.4
"Education",21.4
"Elite",18.4
"Ethnic NGOs",0
"Fundamentalist",0
"General Population",0
"Government",46.1
"Housing",0
"Human Rights IGOs",0
"Insurgents",0
"International Religious",0
"Judicial",25.4
"Labor",25.4
"Legal",0
"Legislative",0
"Local",33.9
"Media",40.4
"Medical",0
"Military",27.4
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Police",45.5
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Separatists",0
"Social",46.4
"Unidentified Forces",30.4
