"TSectors","Intensity"
"(National) Minor Party",0
"Army",0
"Catholic",0
"Criminals",10.3
"Dissident",32.2
"Education",0
"Executive Office",33.3
"General Population",0
"Government",14
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",36.5
"International Religious",0
"Kurd (Ethnic Group)",137.9
"Labor",15.3
"Legal",0
"Local",0
"Media",5.3
"Military",47.4
"Municipal",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",0
"Police",167.3
"Protestors",117.3
"Radicals",0
"Rebel",0
"Refugees",0
"Separatists",40.8
"Social",215.3
"Unidentified Forces",18.3
