"TSectors","Intensity"
"Business",0
"Cabinet",0
"Centrist",0
"Criminals",1
"Dissident",19
"Education",0
"Elections Ministry",0
"Elite",3
"Executive",0
"Exiles",0
"Finance",0
"General Population",348.5
"Government",28.8
"Government Major Party (In Government)",0
"Ideological",0
"Information",0
"International Religious",92.6
"Judicial",0
"Labor",0
"Media",0
"Medical",28
"Military",19
"Municipal",0
"Muslim",0
"National Ethnic",0
"National Ethnic Minority",0
"National Religious",0
"News",0
"Nongovernmental Organizations",0
"Protestant",5
"Protestors",0
"Rebel",0
"Social",17.4
"Unidentified Forces",31.2
"Women",0
