"TSectors","Intensity"
"Agricultural",0
"Air Force",0
"Army",0
"Army Headquarters",0
"Business",63
"Catholic",0
"Communist",0
"Criminals",98.5
"Dissident",0
"Education",69.9
"Elite",70.5
"Ethnic NGOs",0
"General Population",521.4
"Government",0
"Government Major Party (In Government)",0
"Human Rights NGOs",0
"Intelligence Ministry",0
"Justice",70.5
"Legal",75.9
"Media",72.9
"Medical",0
"Military",0
"National",0
"National Religious",63.9
"Navy",0
"Nongovernmental Organization (International)",0
"Organized Violent",0
"Police",170.4
"Protestors",175.4
"Radicals",0
"Rebel",0
"Social",64.8
"South American Indigenous",0
"Unidentified Forces",73.5
