"TSectors","Intensity"
"(National) Minor Party",28
"Agricultural",0
"Business",0
"Center Right",0
"Communist",0
"Criminals",0
"Dissident",32
"Education",0
"Elite",19
"Energy Ministry",0
"Entertainment",0
"Ethnic NGOs",0
"Exiles",0
"General Population",3.2
"Government",0
"Human Rights IGOs",0
"Ideological",13
"Insurgents",0
"Judicial",0
"Labor",0
"Legal",0
"Local",0
"Media",0
"Medical",0
"Military",0
"Municipal",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Provincial",0
"Rebel",18
"Social",42
"Transportation Business",0
"Unidentified Forces",0
