"TSectors","Intensity"
"Agriculture",0
"Business",0
"Catholic",0
"Criminals",73.9
"Dissident",0
"Education",0
"Exiles",0
"Food Ministry",0
"General Population",0
"Government",127.9
"Heavy Industrial",0
"Human Rights IGOs",9.4
"Human Rights Ministry",0
"Human Rights NGOs",0
"Industrial",0
"Intelligence Ministry",0
"Jewish",0
"Labor",13.8
"Labor Ministry",0
"Media",2.1
"Medical",9.4
"Military",0
"Military Intelligence",0
"Muslim",0
"National Religious",9.4
"Nongovernmental Organization (International)",21.4
"Nongovernmental Organizations",16.4
"Police",111.2
"Protestors",4
"Provincial Party",11.6
"Radicals",0
"Rebel",0
"Refugees",39.4
"Social",889
"Unidentified Forces",16.4
