"TSectors","Intensity"
"(National) Major Party",0
"Banned Parties",0
"Christian",0
"Criminals",0
"Dissident",0
"Education",0
"Elections Ministry",0
"General Population",0
"Government",28.4
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"International Ethnic",0
"International Religious",0
"Legal",0
"Legislative",14.2
"Media",10.2
"Military",0
"Municipal",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Oromo",0
"Parties",17.2
"Police",0
"Protestors",0
"Radicals",0
"Rebel",18.4
"Refugees",0
"Separatists",25.2
"Social",0
"State Media",0
"Unidentified Forces",0
