"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Centrist",0
"Criminals",0
"Dissident",9
"Education",12.6
"Elite",105.5
"Executive Office",0
"Exiles",0
"General Population",148.2
"Government",107.1
"Human Rights NGOs",0
"Intelligence Ministry",0
"International Religious",0
"Local",0
"Media",22
"Military",0
"Muslim",0
"National Religious",0
"Police",0
"Protestors",18
"Provincial",0
"Radicals",0
"Rebel",10
"Separatists",0
"Social",0
"Tuareg",0
"Unidentified Forces",36.5
