"TSectors","Intensity"
"Agricultural",0
"Buddhist",38
"Criminals",0
"Defense",30
"Dissident",34
"Elections Ministry",0
"Exiles",0
"General Population",77
"Government",7.5
"Government Major Party (In Government)",0
"Human Rights IGOs",21
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Intelligence Ministry",0
"Interior",0
"International Ethnic",0
"International Religious",40
"Labor",0
"Media",0
"Medical",0
"Military",28
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",27
"Protestors",33
"Radicals",0
"Rebel",0
"Refugees",0
"Separatists",0
"Social",33
"State Media",0
