"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Berber-Kabyle",0
"Business",7
"Criminals",20
"Dissident",0
"Education",0
"Elite",0
"Ethnic NGOs",0
"Fundamentalist",0
"General Population",16.7
"Government",39
"Housing",0
"Human Rights IGOs",0
"Insurgents",0
"International Religious",0
"Judicial",0
"Labor",0
"Legal",0
"Legislative",0
"Local",0
"Media",0
"Medical",0
"Military",0
"Muslim",6.6
"National Religious",0
"Nongovernmental Organization (International)",0
"Police",0
"Protestors",16
"Provincial",0
"Radicals",0
"Rebel",0
"Separatists",0
"Social",0
"Unidentified Forces",20
