"TSectors","Intensity"
"(National) Minor Party",13.4
"Agriculture",0
"Army",0
"Centrist",0
"Criminals",0
"Dissident",14.4
"General Population",0
"Health Ministry",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Labor",0
"Local",13.4
"Media",0
"Military",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Provincial",13.4
"Radicals",0
"Rebel",0
"Social",5.4
"State-Owned Transportation",0
"Unidentified Forces",0
