"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Communist",0
"Criminals",0
"Dissident",12
"Education",0
"Environment Ministry",0
"General Population",41.6
"Government",36
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Labor",0
"Legislative",0
"Media",0
"Medical",0
"Military",2
"Municipal",0
"Nationalist",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Refugees",11.2
"Regional Diplomatic IGOs",0
"Social",19.9
"Transportation Business",0
"Unidentified Forces",7
"Women",0
