"TSectors","Intensity"
"Business",0
"Cabinet",65.6
"Criminals",18.6
"Dissident",42.6
"Education",0
"Elite",83.6
"Executive",24.1
"Executive Office",134.3
"Exiles",66.6
"Foreign Ministry",0
"General Population",128.9
"Government",85
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Interior",0
"International Religious",0
"Judicial",0
"Labor",13.6
"Legal",0
"Legislative",51.6
"Media",10.6
"Medical",0
"Military",114.1
"Muslim",24.2
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",0
"Police",51.1
"Protestors",4.6
"Rebel",0
"Refugees",0
"Social",101.6
"Unidentified Forces",275.6
