"TSectors","Intensity"
"(National) Major Party",10
"Agricultural",0
"Business",2
"Center Right",27
"Communist",0
"Criminals",0
"Dissident",37
"Education",0
"Elite",0
"Executive",0
"Executive Office",0
"General Population",59
"Government",59.5
"Government Major Party (In Government)",0
"Ideological",11.5
"Judicial",9
"Labor",2
"Legal",0
"Local",0
"Medical",0
"Military",0
"National",0
"National Religious",0
"Navy",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Rebel",0
"Social",1.5
"Unidentified Forces",0
"Upper House",0
