"TSectors","Intensity"
"Business",56.1
"Center Left",0
"Criminals",73.6
"Dissident",136.4
"Exiles",0
"General Population",150
"Government",142.2
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",69.6
"Insurgents",0
"Judicial",72
"Labor",0
"Legal",0
"Media",0
"Medical",0
"Military",143.6
"National",0
"National Ethnic",0
"National Ethnic Minority",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Online News",0
"Organized Violent",0
"Parties",53.8
"Police",75.1
"Protestors",78.6
"Provincial",0
"Provincial Party",0
"Radio News",0
"Rebel",0
"Social",261.2
"Unidentified Forces",101.6
"Upper House",0
