"TSectors","Intensity"
"Agriculture",38.6
"Business",38.6
"Catholic",0
"Criminals",70.6
"Dissident",153.4
"Education",0
"Exiles",0
"Food Ministry",0
"General Population",834.7
"Government",119.6
"Heavy Industrial",0
"Human Rights IGOs",0
"Human Rights Ministry",0
"Human Rights NGOs",0
"Industrial",0
"Intelligence Ministry",0
"Jewish",0
"Labor",40.2
"Labor Ministry",0
"Media",38.6
"Medical",49.8
"Military",0
"Military Intelligence",40.6
"Muslim",38.6
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",36.6
"Police",117.8
"Protestors",0
"Provincial Party",0
"Radicals",0
"Rebel",0
"Refugees",0
"Social",746.6
"Unidentified Forces",76.6
