"TSectors","Intensity"
"Agricultural",0
"Air Force",0
"Army",0
"Army Headquarters",0
"Business",0
"Catholic",16.8
"Communist",0
"Criminals",36.8
"Dissident",20.8
"Education",0
"Elite",0
"Ethnic NGOs",0
"General Population",184
"Government",95.7
"Government Major Party (In Government)",0
"Human Rights NGOs",10.8
"Intelligence Ministry",0
"Justice",0
"Legal",0
"Media",13.8
"Medical",0
"Military",0
"National",0
"National Religious",0
"Navy",0
"Nongovernmental Organization (International)",0
"Organized Violent",0
"Police",44.2
"Protestors",11.8
"Radicals",0
"Rebel",0
"Social",121.6
"South American Indigenous",0
"Unidentified Forces",0
