"TSectors","Intensity"
"Agricultural",0
"Business",3
"Christian",0
"Criminals",51
"Dissident",8
"Education",0
"Elections Ministry",0
"Exiles",0
"General Population",308.7
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",12.5
"Insurgents",0
"International Dissident",0
"International Insurgents",0
"International Religious",6
"Labor",0
"Legal",0
"Marines",0
"Media",19.4
"Military",14
"Municipal",0
"National Religious",30.4
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",110.1
"Protestors",56
"Radicals",0
"Rebel",0
"Separatists",0
"Social",31
"State Owned Enterprises",0
"State-Owned Transportation",8
"Sunni",26.4
"Unidentified Forces",0
