"TSectors","Intensity"
"(National) Major Party",12.6
"Agricultural",0
"Business",0
"Center Right",0
"Communist",0
"Criminals",12
"Dissident",0
"Education",12
"Elite",0
"Executive",0
"Executive Office",12
"General Population",0
"Government",14
"Government Major Party (In Government)",0
"Ideological",0
"Judicial",0
"Labor",12
"Legal",0
"Local",0
"Medical",0
"Military",8.6
"National",0
"National Religious",14
"Navy",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Rebel",0
"Social",20
"Unidentified Forces",0
"Upper House",0
