"TSectors","Intensity"
"(National) Major Party",33.7
"Agricultural",0
"Buddhist",0
"Business",34.2
"Criminals",0
"Dissident",191.7
"Education",32.4
"Elite",17.2
"Exiles",13.4
"General Population",370.9
"Government",35
"Government Major Party (In Government)",14.2
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Religious",0
"Judicial",20.2
"Labor",33.2
"Legislative",0
"Media",0
"Medical",0
"Military",16.2
"Municipal",0
"Muslim",29.2
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",12.2
"Opposition Major Party (Out Of Government)",0
"Parties",8
"Police",80.3
"Protestors",0
"Radicals",0
"Rebel",0
"Social",20.8
"Unidentified Forces",15.2
