"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",0
"Arab",0
"Beja",0
"Business",0
"Criminals",23.4
"Dissident",2
"Education",0
"General Population",158
"Government",13.6
"Government Major Party (In Government)",0
"Health Ministry",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"Intelligence Ministry",0
"International Ethnic",4.6
"International Religious",14
"Labor",0
"Local",12.4
"Media",17.4
"Military",0
"National Ethnic",0
"National Ethnic Minority",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Print News",9.4
"Protestors",8.4
"Provincial",6.5
"Rebel",9.4
"Refugees",0
"Social",68.4
"Unidentified Forces",42.6
"Women",0
