"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",6.8
"Center Right",0
"Communist",0
"Criminals",0
"Dissident",40.8
"Education",0
"Elite",0
"Energy Ministry",0
"Entertainment",0
"Ethnic NGOs",0
"Exiles",0
"General Population",9
"Government",0.399999999999999
"Human Rights IGOs",0
"Ideological",0
"Insurgents",0
"Judicial",0
"Labor",0
"Legal",0
"Local",0
"Media",6.8
"Medical",0
"Military",35.8
"Municipal",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Provincial",0
"Rebel",0
"Social",0.8
"Transportation Business",0
"Unidentified Forces",0
