"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Criminals",0
"Defense",0
"Dissident",15
"Education",0
"Far Left",0
"Far Right",0
"General Population",0
"Government",43.3
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",112
"International Ethnic",0
"Labor",0
"Legislative",5
"Local",0
"Marines",0
"Media",0
"Medical",0
"Military",83
"Municipal",0
"National Ethnic Minority",0
"National Religious",0
"Nongovernmental Organizations",0
"Parties",0
"Police",54
"Protestors",0
"Provincial",0
"Rebel",53.4
"Social",73.2
"South American Indigenous",0
"Unidentified Forces",0
