"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",12.3
"Criminals",34.9
"Defense",0
"Dissident",15.5
"Education",6.9
"Far Left",7
"Far Right",37.9
"General Population",445.9
"Government",25.8
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",0
"International Ethnic",0
"Labor",28.9
"Legislative",37.1
"Local",0
"Marines",0
"Media",7.9
"Medical",0
"Military",66.5
"Municipal",0
"National Ethnic Minority",0
"National Religious",0
"Nongovernmental Organizations",0
"Parties",25.9
"Police",0
"Protestors",0
"Provincial",0
"Rebel",12.8
"Social",38.9
"South American Indigenous",0
"Unidentified Forces",9.9
