"TSectors","Intensity"
"Agriculture",0
"Business",5.4
"Catholic",0
"Criminals",0
"Dissident",198.4
"Education",0
"Exiles",0
"Food Ministry",0
"General Population",993.1
"Government",75
"Heavy Industrial",0
"Human Rights IGOs",5.4
"Human Rights Ministry",0
"Human Rights NGOs",0
"Industrial",0
"Intelligence Ministry",0
"Jewish",0
"Labor",18.4
"Labor Ministry",0
"Media",0
"Medical",0
"Military",12.4
"Military Intelligence",0
"Muslim",0
"National Religious",2.4
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",11.4
"Police",0
"Protestors",7.9
"Provincial Party",0
"Radicals",0
"Rebel",3.4
"Refugees",0
"Social",81.7999999999999
"Unidentified Forces",3.4
