"TSectors","Intensity"
"(National) Minor Party",0
"Army",0
"Catholic",0
"Criminals",22
"Dissident",63.2
"Education",0
"Executive Office",16
"General Population",95
"Government",30
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",17
"Kurd (Ethnic Group)",206
"Labor",0
"Legal",0
"Local",0
"Media",0
"Military",64.8
"Municipal",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",16
"Parties",14
"Police",221
"Protestors",62
"Radicals",0
"Rebel",47
"Refugees",0
"Separatists",0
"Social",50
"Unidentified Forces",17
