"TSectors","Intensity"
"(National) Minor Party",8.4
"Agriculture",0
"Army",0
"Centrist",0
"Criminals",8.4
"Dissident",29.4
"General Population",0
"Health Ministry",23.4
"Human Rights IGOs",0
"Human Rights NGOs",0
"Labor",0
"Local",0
"Media",3.4
"Military",3.4
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",27.9
"Nongovernmental Organizations",0
"Police",5.4
"Protestors",3.4
"Provincial",0
"Radicals",0
"Rebel",0
"Social",56.4
"State-Owned Transportation",0
"Unidentified Forces",0
