"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",75
"Criminals",22
"Defense",0
"Dissident",264.3
"Education",18.6
"Elite",0
"Executive",0
"General Population",1430.9
"Government",1555.8
"Intelligence Ministry",0
"Interior",0
"International Religious",44
"Judicial",7
"Kurd (Ethnic Group)",0
"Labor",104
"Legal",0
"Legislative",15.2
"Local",25
"Media",0
"Medical",0
"Military",413
"Muslim",0
"National Religious",0
"Nongovernmental Organizations",49.5
"Parties",41.6
"Police",232
"Protestors",0
"Provincial",17.6
"Radicals",0
"Rebel",93
"Social",1386
"Sunni",68.2
"Unidentified Forces",74
