"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Berber-Kabyle",0
"Business",0
"Criminals",1.3
"Dissident",0
"Education",0
"Elite",7.8
"Ethnic NGOs",0
"Fundamentalist",0
"General Population",0
"Government",26.8
"Housing",0
"Human Rights IGOs",0
"Insurgents",0
"International Religious",0
"Judicial",0
"Labor",0
"Legal",0
"Legislative",0
"Local",0
"Media",0
"Medical",0
"Military",35.8
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Police",0
"Protestors",0
"Provincial",0
"Radicals",35.8
"Rebel",12
"Separatists",0
"Social",28.8
"Unidentified Forces",35.8
