"TSectors","Intensity"
"(National) Minor Party",10.7
"Air Force",0
"Army",0.7
"Business",0
"Center Right",0
"Centrist",0.7
"Criminals",35.7
"Dissident",46.7
"Education",62.1
"Executive",11.4
"General Population",229.9
"Government",20
"Human Rights IGOs",0
"Human Rights NGOs",10.7
"Insurgents",0
"International Ethnic",0
"International Religious",0
"Labor",0
"Local",0
"Media",4.7
"Medical",0
"Military",7.9
"Muslim",17.2
"National Religious",0
"News",0
"Nongovernmental Organization (International)",73.9
"Nongovernmental Organizations",0
"Parties",0
"Police",109.7
"Protestors",9.7
"Provincial",0
"Radicals",0.7
"Rebel",0
"Social",488.5
"Unidentified Forces",92.9
