"TSectors","Intensity"
"Army",0
"Business",103.5
"Center Left",0
"Christian",0
"Criminals",425.5
"Dissident",0
"Education",330.9
"Elections Ministry",0
"Entertainment",0
"Far Right",0
"Food Ministry",0
"General Population",1599.3
"Government",178
"Government Major Party (In Government)",0
"Human Rights NGOs",48.7
"Insurgents",0
"International Religious",69.1
"Labor",48.2
"Lower House",0
"Medical",44.8
"Military",0
"Military Intelligence",0
"Muslim",898.8
"National Religious",73.7
"Parties",0
"Police",0
"Protestors",55.7
"Radicals",59.7
"Rebel",450.1
"Separatists",0
"Social",0
"State Owned Enterprises",0
"State-Owned Heavy Industrial",0
"Unidentified Forces",124.7
