"TSectors","Intensity"
"Agricultural",0
"Business",4.6
"Christian",0
"Criminals",0
"Dissident",158.8
"Education",0
"Elections Ministry",0
"Exiles",0
"General Population",241.9
"Human Rights IGOs",0
"Human Rights NGOs",8
"Ideological",0
"Insurgents",0
"International Dissident",0
"International Insurgents",0
"International Religious",33
"Labor",0
"Legal",0
"Marines",0
"Media",5
"Military",0.2
"Municipal",0
"National Religious",3
"Nongovernmental Organization (International)",12.4
"Nongovernmental Organizations",0
"Police",0
"Protestors",23
"Radicals",0
"Rebel",0
"Separatists",0
"Social",251.6
"State Owned Enterprises",0
"State-Owned Transportation",0
"Sunni",0
"Unidentified Forces",53.8
