"TSectors","Intensity"
"Agriculture",0
"Business",17.2
"Catholic",0
"Criminals",28
"Dissident",69.2
"Education",18.4
"Exiles",0
"Food Ministry",0
"General Population",662.7
"Government",98.6
"Heavy Industrial",0
"Human Rights IGOs",0
"Human Rights Ministry",0
"Human Rights NGOs",0
"Industrial",0
"Intelligence Ministry",0
"Jewish",0
"Labor",0
"Labor Ministry",0
"Media",16.4
"Medical",20
"Military",39
"Military Intelligence",0
"Muslim",0
"National Religious",14
"Nongovernmental Organization (International)",25
"Nongovernmental Organizations",28
"Police",103.1
"Protestors",0
"Provincial Party",21
"Radicals",0
"Rebel",0
"Refugees",20
"Social",318.7
"Unidentified Forces",0
