"TSectors","Intensity"
"Agricultural",0
"Army",0
"Banned Parties",0
"Center Left",0
"Criminals",0
"Dissident",23
"Education",0
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",0
"Government",33.5
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",6
"International Ethnic",0
"Kurd (Ethnic Group)",0
"Labor",0
"Labor NGOs",0
"Legal",0
"Media",1.6
"Military",9.2
"Military Intelligence",0
"National",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",43.3
"Police",0
"Protestors",6
"Radicals",0
"Radio News",0
"Rebel",0
"Social",34.9
"State-Owned Science",0
"Sunni",0
"Unidentified Forces",0
