"TSectors","Intensity"
"Agricultural",0
"Air Force",0
"Army",0
"Army Headquarters",0
"Business",0
"Catholic",0
"Communist",0
"Criminals",42.6
"Dissident",26.2
"Education",17
"Elite",20
"Ethnic NGOs",0
"General Population",68.6
"Government",40.9
"Government Major Party (In Government)",0
"Human Rights NGOs",0
"Intelligence Ministry",0
"Justice",0
"Legal",42.4
"Media",8
"Medical",15
"Military",0
"National",0
"National Religious",17
"Navy",0
"Nongovernmental Organization (International)",0
"Organized Violent",0
"Police",0
"Protestors",15
"Radicals",0
"Rebel",0
"Social",320.4
"South American Indigenous",0
"Unidentified Forces",0
