"TSectors","Intensity"
"(National) Major Party",0
"Banned Parties",0
"Christian",0
"Criminals",7.4
"Dissident",0
"Education",0
"Elections Ministry",0
"General Population",12.6
"Government",15.7
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"International Ethnic",0
"International Religious",0
"Legal",0
"Legislative",0
"Media",0
"Military",25.4
"Municipal",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Oromo",0
"Parties",0
"Police",0
"Protestors",16.9
"Radicals",0
"Rebel",12.4
"Refugees",0
"Separatists",27.4
"Social",37
"State Media",0
"Unidentified Forces",0
