"TSectors","Intensity"
"(National) Major Party",97.2
"Agricultural",103.8
"Business",106.5
"Criminals",0
"Dissident",453.6
"Education",101.1
"General Population",2505.2
"Government",825.7
"Government Major Party (In Government)",94.4
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",13
"Insurgents",18
"International Religious",0
"Kashmiri",21
"Labor",0
"Legislative",0
"Media",0
"Medical",0
"Military",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",64.6
"Nongovernmental Organizations",126
"Opposition Major Party (Out Of Government)",0
"Parties",67.5
"Police",360.9
"Protestors",125.200000000001
"Radicals",13
"Rebel",2.6
"Separatists",0
"Sikh",17
"Social",2535
"Unidentified Forces",99
