"TSectors","Intensity"
"(National) Major Party",337.2
"Agricultural",0
"Buddhist",64.3
"Business",0
"Criminals",99
"Dissident",134.3
"Education",0
"Elite",59.8
"Exiles",0
"General Population",326
"Government",54.8
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",76.3
"Insurgents",0
"International Religious",0
"Judicial",55.4
"Labor",0
"Legislative",66.8
"Media",0
"Medical",0
"Military",63.3
"Municipal",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",67.8
"Opposition Major Party (Out Of Government)",0
"Parties",0
"Police",84.4
"Protestors",33.8
"Radicals",0
"Rebel",0
"Social",365.9
"Unidentified Forces",0
