"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Center Right",2
"Communist",26
"Criminals",0
"Dissident",20
"Education",0
"Elite",5.7
"Energy Ministry",0
"Entertainment",0
"Ethnic NGOs",0
"Exiles",0
"General Population",18.9
"Government",48.7
"Human Rights IGOs",0
"Ideological",0
"Insurgents",0
"Judicial",0
"Labor",0
"Legal",0
"Local",0
"Media",11.2
"Medical",0
"Military",26.6
"Municipal",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",114.5
"Protestors",0
"Provincial",0
"Rebel",18
"Social",127.1
"Transportation Business",0
"Unidentified Forces",0
