"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",0
"Business",0
"Criminals",0
"Dissident",500.1
"Education",99
"General Population",2292.3
"Government",661.2
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",71.8
"Ideological",0
"Insurgents",48
"International Religious",34.6
"Kashmiri",43
"Labor",147.4
"Legislative",76.6
"Media",0
"Medical",80.6
"Military",95.2
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",38.5
"Nongovernmental Organizations",43
"Opposition Major Party (Out Of Government)",0
"Parties",198.4
"Police",0
"Protestors",0
"Radicals",53
"Rebel",0
"Separatists",0
"Sikh",0
"Social",2305.5
"Unidentified Forces",67
