"TSectors","Intensity"
"(National) Minor Party",49.5
"Air Force",0
"Army",56.2
"Business",61.8
"Center Right",46.4
"Centrist",84.8
"Criminals",50.8
"Dissident",249.8
"Education",0
"Executive",0
"General Population",0
"Government",97.4
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",70.8
"International Ethnic",0
"International Religious",0
"Labor",50.8
"Local",42.8
"Media",62.3
"Medical",0
"Military",0
"Muslim",0
"National Religious",63.8
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",39.8
"Police",423.8
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",155.8
"Social",610.3
"Unidentified Forces",314.8
