"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",0
"Center Right",0
"Centrist",0
"Criminals",0
"Dissident",83.1
"Education",12.8
"Executive",0
"General Population",499
"Government",318.8
"Human Rights IGOs",0
"Human Rights NGOs",7.8
"Insurgents",0
"International Ethnic",0
"International Religious",37.6
"Labor",4.8
"Local",0
"Media",0
"Medical",0
"Military",0
"Muslim",1.8
"National Religious",12.8
"News",0
"Nongovernmental Organization (International)",14.8
"Nongovernmental Organizations",0
"Parties",30.8
"Police",0
"Protestors",0
"Provincial",0
"Radicals",34.2
"Rebel",12.8
"Social",243.1
"Unidentified Forces",301.9
