"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",7
"Criminals",0
"Defense",0
"Dissident",14
"Education",0
"Far Left",54.6
"Far Right",17
"General Population",30.2
"Government",102.6
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",14
"International Ethnic",0
"Labor",25
"Legislative",0
"Local",0
"Marines",0
"Media",0
"Medical",0
"Military",0
"Municipal",0
"National Ethnic Minority",0
"National Religious",0
"Nongovernmental Organizations",0
"Parties",14
"Police",70.6
"Protestors",0
"Provincial",0
"Rebel",24
"Social",151.4
"South American Indigenous",0
"Unidentified Forces",7
