"TSectors","Intensity"
"Business",0
"Criminals",10
"Defense",0
"Dissident",22
"Education",13
"Elite",0
"Executive",29
"Executive Office",27.4
"General Population",249
"Government",172.4
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"Intelligence Ministry",0
"International Dissident",0
"International Radicals",0
"International Religious",0
"Labor",0
"Local",0
"Media",0
"Medical",0
"Military",119.5
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",49.5
"Protestors",110.8
"Provincial",0
"Radicals",9
"Rebel",0
"Separatists",2
"Shia",0
"Social",240.8
"Unidentified Forces",130
