"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Centrist",0
"Criminals",0
"Dissident",18.4
"Education",0
"Elite",0
"Executive Office",0
"Exiles",0
"General Population",0
"Government",5.1
"Human Rights NGOs",0
"Intelligence Ministry",0
"International Religious",0
"Local",0
"Media",0
"Military",27.4
"Muslim",0
"National Religious",0
"Police",0
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",28.4
"Separatists",0
"Social",36.6
"Tuareg",0
"Unidentified Forces",28.4
