"TSectors","Intensity"
"Army",0
"Business",33
"Center Left",0
"Christian",0
"Criminals",102
"Dissident",0
"Education",4
"Elections Ministry",0
"Entertainment",0
"Far Right",0
"Food Ministry",0
"General Population",243.4
"Government",116
"Government Major Party (In Government)",0
"Human Rights NGOs",0
"Insurgents",0
"International Religious",0
"Labor",16
"Lower House",0
"Medical",0
"Military",1.6
"Military Intelligence",0
"Muslim",0
"National Religious",29
"Parties",6.3
"Police",16.4
"Protestors",37
"Radicals",0
"Rebel",0
"Separatists",10
"Social",0
"State Owned Enterprises",0
"State-Owned Heavy Industrial",0
"Unidentified Forces",0
