"TSectors","Intensity"
"(National) Minor Party",0
"Army",5.2
"Catholic",0
"Criminals",0
"Dissident",81.6
"Education",0
"Executive Office",0
"General Population",146.9
"Government",142.9
"Government Major Party (In Government)",5.6
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",0
"Kurd (Ethnic Group)",0
"Labor",0
"Legal",8.6
"Local",0
"Media",0
"Military",0
"Municipal",0
"Muslim",0
"National Religious",34.6
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",7.6
"Parties",15.6
"Police",0
"Protestors",0
"Radicals",5.2
"Rebel",0
"Refugees",0
"Separatists",17.2
"Social",105.8
"Unidentified Forces",8.9
