"TSectors","Intensity"
"Agricultural",41.1
"Buddhist",0
"Business",0
"Criminals",0
"Dissident",105.6
"Education",0
"Exiles",0
"Finance",16.6
"General Population",621.5
"Government",235.9
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"International Ethnic",0
"International Religious",0
"Local",0
"Media",4.2
"Medical",0
"Municipal",0
"Muslim",0
"National Ethnic",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",44.2
"Police",285.3
"Protestors",20.6
"Provincial",6.9
"Radicals",0
"Rebel",0
"Separatists",0
"Social",31
"State Media",0
"Unidentified Forces",43.6
"Uyghur",0
