"TSectors","Intensity"
"Agricultural",0
"Business",4.6
"Catholic",0
"Criminals",0
"Dissident",71.8
"Education",4
"Entertainment",0
"Environment Ministry",0
"General Population",65.9
"Government",51.5
"Human Rights NGOs",0
"International Religious",0
"Justice",4
"Labor",0
"Legal",0
"Legislative",8.6
"Local",0
"Media",0
"Medical",0
"Military",0
"Municipal",0
"Muslim",14
"National Religious",0
"Nilotic",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",47.7
"Protestors",0
"Provincial",0
"Rebel",0
"Refugees",0
"Social",95.3
"Television Entertainment",0
"Unidentified Forces",4
"Upper House",0
