"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",6.8
"Center Right",0
"Communist",19.8
"Criminals",12.2
"Dissident",0
"Education",0
"Elite",25
"Energy Ministry",0
"Entertainment",0
"Ethnic NGOs",0
"Exiles",8.8
"General Population",124.8
"Government",4.4
"Human Rights IGOs",0
"Ideological",9.8
"Insurgents",0
"Judicial",0
"Labor",9.8
"Legal",0
"Local",0
"Media",0
"Medical",9.8
"Military",20.3
"Municipal",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",13.8
"Protestors",0
"Provincial",0
"Rebel",0
"Social",13.3
"Transportation Business",0
"Unidentified Forces",9.8
