"TSectors","Intensity"
"(National) Major Party",5.8
"Agricultural",0
"Business",11.8
"Center Right",0
"Communist",0
"Criminals",11.8
"Dissident",0
"Education",0
"Elite",0
"Executive",0
"Executive Office",5.8
"General Population",12.8
"Government",11.8
"Government Major Party (In Government)",0
"Ideological",0
"Judicial",8.8
"Labor",0
"Legal",0
"Local",0
"Medical",0
"Military",0
"National",0
"National Religious",0
"Navy",0
"Nongovernmental Organizations",2
"Police",0
"Protestors",0
"Rebel",0
"Social",28.8
"Unidentified Forces",0
"Upper House",0
