"TSectors","Intensity"
"(National) Minor Party",0
"Army",0
"Catholic",28.6
"Criminals",49.6
"Dissident",89.8
"Education",10.6
"Executive Office",0
"General Population",403
"Government",640.4
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",50.6
"International Religious",0
"Kurd (Ethnic Group)",148.6
"Labor",13.6
"Legal",10.6
"Local",0
"Media",11.6
"Military",20.6
"Municipal",10.6
"Muslim",7.6
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",3.7
"Police",22.6
"Protestors",9.6
"Radicals",0
"Rebel",99.6
"Refugees",0
"Separatists",198
"Social",22.6
"Unidentified Forces",50.6
