"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",21.4
"Buddhist",0
"Business",12.9
"Criminals",0
"Dissident",99.7
"Education",10.4
"Elite",12.4
"Exiles",0
"General Population",554.8
"Government",56.4
"Government Major Party (In Government)",0
"Human Rights IGOs",32.4
"Human Rights NGOs",0
"Insurgents",16.4
"International Religious",16.4
"Judicial",0
"Labor",0
"Legislative",0
"Media",13.4
"Medical",0
"Military",0
"Municipal",0
"Muslim",18.4
"National Religious",0
"Nongovernmental Organization (International)",12.4
"Nongovernmental Organizations",1.6
"Opposition Major Party (Out Of Government)",13
"Parties",23.9
"Police",46.4
"Protestors",0
"Radicals",0
"Rebel",0
"Social",52
"Unidentified Forces",0
