"TSectors","Intensity"
"Agricultural",0
"Air Force",0
"Army",0
"Army Headquarters",0
"Business",0
"Catholic",0
"Communist",0
"Criminals",17
"Dissident",26
"Education",0
"Elite",20
"Ethnic NGOs",0
"General Population",20
"Government",7.4
"Government Major Party (In Government)",0
"Human Rights NGOs",0
"Intelligence Ministry",0
"Justice",0
"Legal",0
"Media",1
"Medical",0
"Military",12
"National",0
"National Religious",8
"Navy",13
"Nongovernmental Organization (International)",0
"Organized Violent",0
"Police",3.6
"Protestors",7
"Radicals",0
"Rebel",0
"Social",174.2
"South American Indigenous",0
"Unidentified Forces",0
