"TSectors","Intensity"
"Business",0
"Center Left",0
"Criminals",27
"Dissident",0
"Exiles",0
"General Population",32.4
"Government",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Judicial",19
"Labor",0
"Legal",0
"Media",0
"Medical",0
"Military",31
"National",0
"National Ethnic",0
"National Ethnic Minority",0
"National Religious",31
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Online News",0
"Organized Violent",0
"Parties",24
"Police",0
"Protestors",0
"Provincial",0
"Provincial Party",0
"Radio News",0
"Rebel",24
"Social",70.8
"Unidentified Forces",0
"Upper House",14.2
