"TSectors","Intensity"
"Agricultural",0
"Buddhist",0
"Business",122.6
"Criminals",0
"Dissident",341.8
"Education",137.4
"Exiles",0
"Finance",0
"General Population",229.6
"Government",0
"Human Rights IGOs",0
"Human Rights NGOs",149.7
"Ideological",121.2
"International Ethnic",0
"International Religious",0
"Local",117.8
"Media",122.2
"Medical",125.2
"Municipal",0
"Muslim",0
"National Ethnic",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",129.2
"Police",187.6
"Protestors",131.2
"Provincial",128.8
"Radicals",0
"Rebel",0
"Separatists",118.2
"Social",607.2
"State Media",0
"Unidentified Forces",121.2
"Uyghur",0
