"TSectors","Intensity"
"Agricultural",0
"Banned Parties",25
"Business",0
"Criminals",41.5
"Defense",19
"Dissident",103
"Education",19
"Elite",0
"Executive",18.6999999999999
"General Population",287.8
"Government",25
"Intelligence Ministry",0
"Interior",0
"International Religious",40.6
"Judicial",21
"Kurd (Ethnic Group)",11
"Labor",17
"Legal",0
"Legislative",241.5
"Local",0
"Media",41
"Medical",28
"Military",716.4
"Muslim",107
"National Religious",26
"Nongovernmental Organizations",18
"Parties",39.4
"Police",762.3
"Protestors",29
"Provincial",0
"Radicals",0
"Rebel",38.6
"Social",1825.7
"Sunni",0
"Unidentified Forces",114
